Date,District,Pulse,Price_per_kg
2021-01-01,Kurnool,Winged Bean,116.57
2021-01-01,Kurnool,Hyacinth Bean,95.25
2021-01-01,Prakasam,Toor Dal,107.78
2021-01-01,Prakasam,Moong Dal,98.44
2021-01-01,Prakasam,Urad Dal,94.95
2021-01-01,Prakasam,Chana Dal,69.42
2021-01-01,Prakasam,Masoor Dal,68.19
2021-01-01,Prakasam,Horse Gram,60.23
2021-01-01,Prakasam,Rajma,115.21
2021-01-01,Prakasam,Lobia,79.21
2021-01-01,Prakasam,Field Pea,63.49
2021-01-01,Prakasam,Moth Bean,85.86
2021-01-01,Prakasam,Cowpea,77.38
2021-01-01,Prakasam,Cluster Bean,92.94
2021-01-01,Prakasam,Rice Bean,82.65
2021-01-01,Prakasam,Winged Bean,107.76
2021-01-01,Prakasam,Hyacinth Bean,87.96
2021-01-01,SPSR Nellore,Toor Dal,99.76
2021-01-01,SPSR Nellore,Moong Dal,94.11
2021-01-01,SPSR Nellore,Urad Dal,89.77
2021-01-01,SPSR Nellore,Chana Dal,66.57
2021-01-01,SPSR Nellore,Masoor Dal,62.94
2021-01-01,SPSR Nellore,Horse Gram,52.08
2021-01-01,SPSR Nellore,Rajma,109.4
2021-01-01,SPSR Nellore,Lobia,76.02
2021-01-01,SPSR Nellore,Field Pea,61.83
2021-01-01,SPSR Nellore,Moth Bean,83.64
2021-01-01,SPSR Nellore,Cowpea,75.65
2021-01-01,SPSR Nellore,Cluster Bean,87.15
2021-01-01,SPSR Nellore,Rice Bean,82.53
2021-01-01,SPSR Nellore,Winged Bean,102.81
2021-01-01,SPSR Nellore,Hyacinth Bean,86.28
2021-01-01,Srikakulam,Toor Dal,114.41
2021-01-01,Srikakulam,Moong Dal,104.93
2021-01-01,Srikakulam,Urad Dal,102.19
2021-01-01,Srikakulam,Chana Dal,77.49
2021-01-01,Srikakulam,Masoor Dal,71.03
2021-01-01,Srikakulam,Horse Gram,63.63
2021-01-01,Srikakulam,Rajma,122.79
2021-01-01,Srikakulam,Lobia,85.31
2021-01-01,Srikakulam,Field Pea,68.54
2021-01-01,Srikakulam,Moth Bean,89.41
2021-01-01,Srikakulam,Cowpea,81.48
2021-01-01,Srikakulam,Cluster Bean,95.36
2021-01-01,Srikakulam,Rice Bean,91.67
2021-01-01,Srikakulam,Winged Bean,111.06
2021-01-01,Srikakulam,Hyacinth Bean,93.77
2021-01-01,Visakhapatnam,Toor Dal,116.94
2021-01-01,Visakhapatnam,Moong Dal,106.18
2021-01-01,Visakhapatnam,Urad Dal,105.14
2021-01-01,Visakhapatnam,Chana Dal,78.63
2021-01-01,Visakhapatnam,Masoor Dal,69.7
2021-01-01,Visakhapatnam,Horse Gram,64.41
2021-01-01,Visakhapatnam,Rajma,122.4
2021-01-01,Visakhapatnam,Lobia,91.16
2021-01-01,Visakhapatnam,Field Pea,69.86
2021-01-01,Visakhapatnam,Moth Bean,93.16
2021-01-01,Visakhapatnam,Cowpea,84.3
2021-01-01,Visakhapatnam,Cluster Bean,100.83
2021-01-01,Visakhapatnam,Rice Bean,92.73
2021-01-01,Visakhapatnam,Winged Bean,116.36
2021-01-01,Visakhapatnam,Hyacinth Bean,92.61
2021-01-01,Vizianagaram,Toor Dal,116.26
2021-01-01,Vizianagaram,Moong Dal,110.19
2021-01-01,Vizianagaram,Urad Dal,104.0
2021-01-01,Vizianagaram,Chana Dal,78.76
2021-01-01,Vizianagaram,Masoor Dal,71.82
2021-01-01,Vizianagaram,Horse Gram,65.44
2021-01-01,Vizianagaram,Rajma,128.74
2021-01-01,Vizianagaram,Lobia,89.85
2021-01-01,Vizianagaram,Field Pea,69.38
2021-01-01,Vizianagaram,Moth Bean,94.15
2021-01-01,Vizianagaram,Cowpea,82.33
2021-01-01,Vizianagaram,Cluster Bean,99.12
2021-01-01,Vizianagaram,Rice Bean,93.71
2021-01-01,Vizianagaram,Winged Bean,118.61
2021-01-01,Vizianagaram,Hyacinth Bean,98.96
2021-01-01,West Godavari,Toor Dal,117.79
2021-01-01,West Godavari,Moong Dal,115.05
2021-01-01,West Godavari,Urad Dal,105.74
2021-01-01,West Godavari,Chana Dal,79.17
2021-01-01,West Godavari,Masoor Dal,77.01
2021-01-01,West Godavari,Horse Gram,64.8
2021-01-01,West Godavari,Rajma,126.53
2021-01-01,West Godavari,Lobia,90.9
2021-01-01,West Godavari,Field Pea,68.81
2021-01-01,West Godavari,Moth Bean,98.5
2021-01-01,West Godavari,Cowpea,85.41
2021-01-01,West Godavari,Cluster Bean,104.75
2021-01-01,West Godavari,Rice Bean,94.45
2021-01-01,West Godavari,Winged Bean,119.72
2021-01-01,West Godavari,Hyacinth Bean,98.13
2021-01-01,YSR Kadapa,Toor Dal,109.1
2021-01-01,YSR Kadapa,Moong Dal,105.06
2021-01-01,YSR Kadapa,Urad Dal,103.54
2021-01-01,YSR Kadapa,Chana Dal,76.62
2021-01-01,YSR Kadapa,Masoor Dal,72.04
2021-01-01,YSR Kadapa,Horse Gram,61.97
2021-01-01,YSR Kadapa,Rajma,119.11
2021-01-01,YSR Kadapa,Lobia,83.88
2021-01-01,YSR Kadapa,Field Pea,63.7
2021-01-01,YSR Kadapa,Moth Bean,93.25
2021-01-01,YSR Kadapa,Cowpea,80.67
2021-01-01,YSR Kadapa,Cluster Bean,93.44
2021-01-01,YSR Kadapa,Rice Bean,87.69
2021-01-01,YSR Kadapa,Winged Bean,112.23
2021-01-01,YSR Kadapa,Hyacinth Bean,94.38
2021-01-01,Anakapalli,Toor Dal,98.09
2021-01-01,Anakapalli,Moong Dal,93.47
2021-01-01,Anakapalli,Urad Dal,90.53
2021-01-01,Anakapalli,Chana Dal,67.25
2021-01-01,Anakapalli,Masoor Dal,64.98
2021-01-01,Anakapalli,Horse Gram,52.53
2021-01-01,Anakapalli,Rajma,109.06
2021-01-01,Anakapalli,Lobia,75.79
2021-01-01,Anakapalli,Field Pea,57.58
2021-01-01,Anakapalli,Moth Bean,80.08
2021-01-01,Anakapalli,Cowpea,74.94
2021-01-01,Anakapalli,Cluster Bean,85.75
2021-01-01,Anakapalli,Rice Bean,78.57
2021-01-01,Anakapalli,Winged Bean,100.46
2021-01-01,Anakapalli,Hyacinth Bean,81.6
2021-01-01,Nandyal,Toor Dal,116.09
2021-01-01,Nandyal,Moong Dal,107.79
2021-01-01,Nandyal,Urad Dal,103.43
2021-01-01,Nandyal,Chana Dal,76.27
2021-01-01,Nandyal,Masoor Dal,72.55
2021-01-01,Nandyal,Horse Gram,60.79
2021-01-01,Nandyal,Rajma,122.62
2021-01-01,Nandyal,Lobia,86.61
2021-01-01,Nandyal,Field Pea,67.92
2021-01-01,Nandyal,Moth Bean,95.69
2021-01-01,Nandyal,Cowpea,83.76
2021-01-01,Nandyal,Cluster Bean,99.98
2021-01-01,Nandyal,Rice Bean,89.22
2021-01-01,Nandyal,Winged Bean,111.95
2021-01-01,Nandyal,Hyacinth Bean,93.52
2021-01-01,Bapatla,Toor Dal,98.54
2021-01-01,Bapatla,Moong Dal,95.18
2021-01-01,Bapatla,Urad Dal,89.26
2021-01-01,Bapatla,Chana Dal,65.89
2021-01-01,Bapatla,Masoor Dal,65.24
2021-01-01,Bapatla,Horse Gram,55.84
2021-01-01,Bapatla,Rajma,109.18
2021-01-01,Bapatla,Lobia,78.12
2021-01-01,Bapatla,Field Pea,60.61
2021-01-01,Bapatla,Moth Bean,81.71
2021-01-01,Bapatla,Cowpea,71.8
2021-01-01,Bapatla,Cluster Bean,86.95
2021-01-01,Bapatla,Rice Bean,79.94
2021-01-01,Bapatla,Winged Bean,98.2
2021-01-01,Bapatla,Hyacinth Bean,81.65
2021-01-01,Parvathipuram Manyam,Toor Dal,123.09
2021-01-01,Parvathipuram Manyam,Moong Dal,113.24
2021-01-01,Parvathipuram Manyam,Urad Dal,107.98
2021-01-01,Parvathipuram Manyam,Chana Dal,84.99
2021-01-01,Parvathipuram Manyam,Masoor Dal,76.41
2021-01-01,Parvathipuram Manyam,Horse Gram,68.87
2021-01-01,Parvathipuram Manyam,Rajma,134.08
2021-01-01,Parvathipuram Manyam,Lobia,92.55
2021-01-01,Parvathipuram Manyam,Field Pea,73.03
2021-01-01,Parvathipuram Manyam,Moth Bean,99.96
2021-01-01,Parvathipuram Manyam,Cowpea,87.23
2021-01-01,Parvathipuram Manyam,Cluster Bean,101.97
2021-01-01,Parvathipuram Manyam,Rice Bean,98.39
2021-01-01,Parvathipuram Manyam,Winged Bean,117.73
2021-01-01,Parvathipuram Manyam,Hyacinth Bean,98.71
2021-01-01,Eluru,Toor Dal,112.52
2021-01-01,Eluru,Moong Dal,109.68
2021-01-01,Eluru,Urad Dal,105.86
2021-01-01,Eluru,Chana Dal,75.8
2021-01-01,Eluru,Masoor Dal,74.59
2021-01-01,Eluru,Horse Gram,61.58
2021-01-01,Eluru,Rajma,125.08
2021-01-01,Eluru,Lobia,88.57
2021-01-01,Eluru,Field Pea,71.03
2021-01-01,Eluru,Moth Bean,93.9
2021-01-01,Eluru,Cowpea,86.84
2021-01-01,Eluru,Cluster Bean,98.99
2021-01-01,Eluru,Rice Bean,94.55
2021-01-01,Eluru,Winged Bean,112.53
2021-01-01,Eluru,Hyacinth Bean,98.12
2021-01-01,Palnadu,Toor Dal,115.16
2021-01-01,Palnadu,Moong Dal,114.6
2021-01-01,Palnadu,Urad Dal,108.68
2021-01-01,Palnadu,Chana Dal,78.08
2021-01-01,Palnadu,Masoor Dal,75.23
2021-01-01,Palnadu,Horse Gram,64.74
2021-01-01,Palnadu,Rajma,129.59
2021-01-01,Palnadu,Lobia,89.23
2021-01-01,Palnadu,Field Pea,70.59
2021-01-01,Palnadu,Moth Bean,93.01
2021-01-01,Palnadu,Cowpea,87.32
2021-01-01,Palnadu,Cluster Bean,101.51
2021-01-01,Palnadu,Rice Bean,94.99
2021-01-01,Palnadu,Winged Bean,119.91
2021-01-01,Palnadu,Hyacinth Bean,100.72
2021-01-01,Tirupati,Toor Dal,101.43
2021-01-01,Tirupati,Moong Dal,97.72
2021-01-01,Tirupati,Urad Dal,92.52
2021-01-01,Tirupati,Chana Dal,71.74
2021-01-01,Tirupati,Masoor Dal,65.97
2021-01-01,Tirupati,Horse Gram,56.07
2021-01-01,Tirupati,Rajma,114.27
2021-01-01,Tirupati,Lobia,82.29
2021-01-01,Tirupati,Field Pea,60.65
2021-01-01,Tirupati,Moth Bean,82.79
2021-01-01,Tirupati,Cowpea,77.24
2021-01-01,Tirupati,Cluster Bean,87.63
2021-01-01,Tirupati,Rice Bean,83.96
2021-01-01,Tirupati,Winged Bean,106.04
2021-01-01,Tirupati,Hyacinth Bean,89.07
2021-01-01,NTR,Toor Dal,117.24
2021-01-01,NTR,Moong Dal,107.46
2021-01-01,NTR,Urad Dal,107.21
2021-01-01,NTR,Chana Dal,80.08
2021-01-01,NTR,Masoor Dal,75.94
2021-01-01,NTR,Horse Gram,64.43
2021-01-01,NTR,Rajma,125.59
2021-01-01,NTR,Lobia,90.26
2021-01-01,NTR,Field Pea,68.61
2021-01-01,NTR,Moth Bean,94.6
2021-01-01,NTR,Cowpea,84.02
2021-01-01,NTR,Cluster Bean,97.75
2021-01-01,NTR,Rice Bean,92.15
2021-01-01,NTR,Winged Bean,114.48
2021-01-01,NTR,Hyacinth Bean,97.26
2021-01-01,Konaseema,Toor Dal,121.94
2021-01-01,Konaseema,Moong Dal,117.34
2021-01-01,Konaseema,Urad Dal,112.22
2021-01-01,Konaseema,Chana Dal,79.08
2021-01-01,Konaseema,Masoor Dal,79.68
2021-01-01,Konaseema,Horse Gram,67.79
2021-01-01,Konaseema,Rajma,129.37
2021-01-01,Konaseema,Lobia,92.83
2021-01-01,Konaseema,Field Pea,72.51
2021-01-01,Konaseema,Moth Bean,98.16
2021-01-01,Konaseema,Cowpea,87.39
2021-01-01,Konaseema,Cluster Bean,106.62
2021-01-01,Konaseema,Rice Bean,97.44
2021-01-01,Konaseema,Winged Bean,118.61
2021-01-01,Konaseema,Hyacinth Bean,100.85
2021-01-01,Kakinada,Toor Dal,96.75
2021-01-01,Kakinada,Moong Dal,93.05
2021-01-01,Kakinada,Urad Dal,92.58
2021-01-01,Kakinada,Chana Dal,67.09
2021-01-01,Kakinada,Masoor Dal,61.68
2021-01-01,Kakinada,Horse Gram,51.5
2021-01-01,Kakinada,Rajma,105.75
2021-01-01,Kakinada,Lobia,75.26
2021-01-01,Kakinada,Field Pea,60.21
2021-01-01,Kakinada,Moth Bean,82.3
2021-01-01,Kakinada,Cowpea,73.73
2021-01-01,Kakinada,Cluster Bean,85.91
2021-01-01,Kakinada,Rice Bean,80.3
2021-01-01,Kakinada,Winged Bean,96.95
2021-01-01,Kakinada,Hyacinth Bean,83.55
2021-01-01,Alluri Sitharama Raju,Toor Dal,113.6
2021-01-01,Alluri Sitharama Raju,Moong Dal,108.37
2021-01-01,Alluri Sitharama Raju,Urad Dal,98.75
2021-01-01,Alluri Sitharama Raju,Chana Dal,73.26
2021-01-01,Alluri Sitharama Raju,Masoor Dal,69.55
2021-01-01,Alluri Sitharama Raju,Horse Gram,59.89
2021-01-01,Alluri Sitharama Raju,Rajma,122.07
2021-01-01,Alluri Sitharama Raju,Lobia,84.08
2021-01-01,Alluri Sitharama Raju,Field Pea,64.94
2021-01-01,Alluri Sitharama Raju,Moth Bean,91.81
2021-01-01,Alluri Sitharama Raju,Cowpea,83.12
2021-01-01,Alluri Sitharama Raju,Cluster Bean,98.42
2021-01-01,Alluri Sitharama Raju,Rice Bean,86.84
2021-01-01,Alluri Sitharama Raju,Winged Bean,109.4
2021-01-01,Alluri Sitharama Raju,Hyacinth Bean,91.11
2021-01-01,Sri Sathya Sai,Toor Dal,119.78
2021-01-01,Sri Sathya Sai,Moong Dal,112.19
2021-01-01,Sri Sathya Sai,Urad Dal,105.47
2021-01-01,Sri Sathya Sai,Chana Dal,82.47
2021-01-01,Sri Sathya Sai,Masoor Dal,73.92
2021-01-01,Sri Sathya Sai,Horse Gram,63.82
2021-01-01,Sri Sathya Sai,Rajma,131.0
2021-01-01,Sri Sathya Sai,Lobia,91.49
2021-01-01,Sri Sathya Sai,Field Pea,67.96
2021-01-01,Sri Sathya Sai,Moth Bean,99.69
2021-01-01,Sri Sathya Sai,Cowpea,88.01
2021-01-01,Sri Sathya Sai,Cluster Bean,103.9
2021-01-01,Sri Sathya Sai,Rice Bean,98.28
2021-01-01,Sri Sathya Sai,Winged Bean,120.96
2021-01-01,Sri Sathya Sai,Hyacinth Bean,97.07
2021-01-01,Annamayya,Toor Dal,107.61
2021-01-01,Annamayya,Moong Dal,102.47
2021-01-01,Annamayya,Urad Dal,96.83
2021-01-01,Annamayya,Chana Dal,74.27
2021-01-01,Annamayya,Masoor Dal,67.23
2021-01-01,Annamayya,Horse Gram,58.18
2021-01-01,Annamayya,Rajma,121.28
2021-01-01,Annamayya,Lobia,86.94
2021-01-01,Annamayya,Field Pea,64.09
2021-01-01,Annamayya,Moth Bean,91.45
2021-01-01,Annamayya,Cowpea,82.38
2021-01-01,Annamayya,Cluster Bean,93.83
2021-01-01,Annamayya,Rice Bean,90.31
2021-01-01,Annamayya,Winged Bean,106.78
2021-01-01,Annamayya,Hyacinth Bean,92.05
2021-02-01,Anantapur,Toor Dal,108.41
2021-02-01,Anantapur,Moong Dal,105.34
2021-02-01,Anantapur,Urad Dal,100.19
2021-02-01,Anantapur,Chana Dal,73.62
2021-02-01,Anantapur,Masoor Dal,68.82
2021-02-01,Anantapur,Horse Gram,55.79
2021-02-01,Anantapur,Rajma,117.14
2021-02-01,Anantapur,Lobia,81.95
2021-02-01,Anantapur,Field Pea,63.77
2021-02-01,Anantapur,Moth Bean,88.08
2021-02-01,Anantapur,Cowpea,77.37
2021-02-01,Anantapur,Cluster Bean,92.97
2021-02-01,Anantapur,Rice Bean,87.53
2021-02-01,Anantapur,Winged Bean,108.01
2021-02-01,Anantapur,Hyacinth Bean,91.81
2021-02-01,Chittoor,Toor Dal,106.07
2021-02-01,Chittoor,Moong Dal,104.76
2021-02-01,Chittoor,Urad Dal,95.31
2021-02-01,Chittoor,Chana Dal,74.31
2021-02-01,Chittoor,Masoor Dal,67.82
2021-02-01,Chittoor,Horse Gram,61.11
2021-02-01,Chittoor,Rajma,116.86
2021-02-01,Chittoor,Lobia,84.32
2021-02-01,Chittoor,Field Pea,62.25
2021-02-01,Chittoor,Moth Bean,88.57
2021-02-01,Chittoor,Cowpea,80.29
2021-02-01,Chittoor,Cluster Bean,93.83
2021-02-01,Chittoor,Rice Bean,86.18
2021-02-01,Chittoor,Winged Bean,107.67
2021-02-01,Chittoor,Hyacinth Bean,91.53
2021-02-01,East Godavari,Toor Dal,113.1
2021-02-01,East Godavari,Moong Dal,107.75
2021-02-01,East Godavari,Urad Dal,99.61
2021-02-01,East Godavari,Chana Dal,76.69
2021-02-01,East Godavari,Masoor Dal,68.89
2021-02-01,East Godavari,Horse Gram,59.08
2021-02-01,East Godavari,Rajma,121.18
2021-02-01,East Godavari,Lobia,83.73
2021-02-01,East Godavari,Field Pea,67.57
2021-02-01,East Godavari,Moth Bean,88.51
2021-02-01,East Godavari,Cowpea,82.62
2021-02-01,East Godavari,Cluster Bean,97.01
2021-02-01,East Godavari,Rice Bean,88.19
2021-02-01,East Godavari,Winged Bean,108.27
2021-02-01,East Godavari,Hyacinth Bean,90.15
2021-02-01,Guntur,Toor Dal,100.87
2021-02-01,Guntur,Moong Dal,97.23
2021-02-01,Guntur,Urad Dal,95.14
2021-02-01,Guntur,Chana Dal,70.47
2021-02-01,Guntur,Masoor Dal,68.04
2021-02-01,Guntur,Horse Gram,57.49
2021-02-01,Guntur,Rajma,114.17
2021-02-01,Guntur,Lobia,82.02
2021-02-01,Guntur,Field Pea,62.37
2021-02-01,Guntur,Moth Bean,84.36
2021-02-01,Guntur,Cowpea,73.46
2021-02-01,Guntur,Cluster Bean,91.56
2021-02-01,Guntur,Rice Bean,84.7
2021-02-01,Guntur,Winged Bean,105.09
2021-02-01,Guntur,Hyacinth Bean,86.52
2021-02-01,Krishna,Toor Dal,108.63
2021-02-01,Krishna,Moong Dal,103.44
2021-02-01,Krishna,Urad Dal,95.79
2021-02-01,Krishna,Chana Dal,69.46
2021-02-01,Krishna,Masoor Dal,69.55
2021-02-01,Krishna,Horse Gram,57.8
2021-02-01,Krishna,Rajma,117.73
2021-02-01,Krishna,Lobia,84.5
2021-02-01,Krishna,Field Pea,63.05
2021-02-01,Krishna,Moth Bean,87.71
2021-02-01,Krishna,Cowpea,74.47
2021-02-01,Krishna,Cluster Bean,91.0
2021-02-01,Krishna,Rice Bean,83.15
2021-02-01,Krishna,Winged Bean,107.23
2021-02-01,Krishna,Hyacinth Bean,86.51
2021-02-01,Kurnool,Toor Dal,118.12
2021-02-01,Kurnool,Moong Dal,117.05
2021-02-01,Kurnool,Urad Dal,105.89
2021-02-01,Kurnool,Chana Dal,84.7
2021-02-01,Kurnool,Masoor Dal,75.73
2021-02-01,Kurnool,Horse Gram,64.2
2021-02-01,Kurnool,Rajma,130.38
2021-02-01,Kurnool,Lobia,91.95
2021-02-01,Kurnool,Field Pea,71.91
2021-02-01,Kurnool,Moth Bean,99.35
2021-02-01,Kurnool,Cowpea,86.99
2021-02-01,Kurnool,Cluster Bean,100.33
2021-02-01,Kurnool,Rice Bean,94.69
2021-02-01,Kurnool,Winged Bean,116.86
2021-02-01,Kurnool,Hyacinth Bean,101.28
2021-02-01,Prakasam,Toor Dal,113.12
2021-02-01,Prakasam,Moong Dal,110.77
2021-02-01,Prakasam,Urad Dal,101.63
2021-02-01,Prakasam,Chana Dal,76.82
2021-02-01,Prakasam,Masoor Dal,74.36
2021-02-01,Prakasam,Horse Gram,63.57
2021-02-01,Prakasam,Rajma,123.45
2021-02-01,Prakasam,Lobia,89.75
2021-02-01,Prakasam,Field Pea,67.58
2021-02-01,Prakasam,Moth Bean,94.76
2021-02-01,Prakasam,Cowpea,83.61
2021-02-01,Prakasam,Cluster Bean,98.9
2021-02-01,Prakasam,Rice Bean,89.06
2021-02-01,Prakasam,Winged Bean,114.22
2021-02-01,Prakasam,Hyacinth Bean,92.83
2021-02-01,SPSR Nellore,Toor Dal,112.27
2021-02-01,SPSR Nellore,Moong Dal,106.68
2021-02-01,SPSR Nellore,Urad Dal,105.9
2021-02-01,SPSR Nellore,Chana Dal,78.04
2021-02-01,SPSR Nellore,Masoor Dal,73.9
2021-02-01,SPSR Nellore,Horse Gram,61.5
2021-02-01,SPSR Nellore,Rajma,126.01
2021-02-01,SPSR Nellore,Lobia,89.59
2021-02-01,SPSR Nellore,Field Pea,65.75
2021-02-01,SPSR Nellore,Moth Bean,90.86
2021-02-01,SPSR Nellore,Cowpea,84.24
2021-02-01,SPSR Nellore,Cluster Bean,100.19
2021-02-01,SPSR Nellore,Rice Bean,88.58
2021-02-01,SPSR Nellore,Winged Bean,116.11
2021-02-01,SPSR Nellore,Hyacinth Bean,95.09
2021-02-01,Srikakulam,Toor Dal,104.7
2021-02-01,Srikakulam,Moong Dal,100.37
2021-02-01,Srikakulam,Urad Dal,96.41
2021-02-01,Srikakulam,Chana Dal,72.25
2021-02-01,Srikakulam,Masoor Dal,65.36
2021-02-01,Srikakulam,Horse Gram,58.72
2021-02-01,Srikakulam,Rajma,112.68
2021-02-01,Srikakulam,Lobia,80.51
2021-02-01,Srikakulam,Field Pea,61.46
2021-02-01,Srikakulam,Moth Bean,83.88
2021-02-01,Srikakulam,Cowpea,75.55
2021-02-01,Srikakulam,Cluster Bean,87.63
2021-02-01,Srikakulam,Rice Bean,85.81
2021-02-01,Srikakulam,Winged Bean,103.4
2021-02-01,Srikakulam,Hyacinth Bean,89.31
2021-02-01,Visakhapatnam,Toor Dal,109.44
2021-02-01,Visakhapatnam,Moong Dal,110.0
2021-02-01,Visakhapatnam,Urad Dal,104.7
2021-02-01,Visakhapatnam,Chana Dal,74.67
2021-02-01,Visakhapatnam,Masoor Dal,69.21
2021-02-01,Visakhapatnam,Horse Gram,60.44
2021-02-01,Visakhapatnam,Rajma,120.75
2021-02-01,Visakhapatnam,Lobia,86.24
2021-02-01,Visakhapatnam,Field Pea,67.92
2021-02-01,Visakhapatnam,Moth Bean,92.29
2021-02-01,Visakhapatnam,Cowpea,81.5
2021-02-01,Visakhapatnam,Cluster Bean,100.17
2021-02-01,Visakhapatnam,Rice Bean,91.93
2021-02-01,Visakhapatnam,Winged Bean,111.61
2021-02-01,Visakhapatnam,Hyacinth Bean,93.28
2021-02-01,Vizianagaram,Toor Dal,109.26
2021-02-01,Vizianagaram,Moong Dal,109.35
2021-02-01,Vizianagaram,Urad Dal,99.8
2021-02-01,Vizianagaram,Chana Dal,77.73
2021-02-01,Vizianagaram,Masoor Dal,71.42
2021-02-01,Vizianagaram,Horse Gram,63.87
2021-02-01,Vizianagaram,Rajma,119.83
2021-02-01,Vizianagaram,Lobia,86.13
2021-02-01,Vizianagaram,Field Pea,65.56
2021-02-01,Vizianagaram,Moth Bean,89.59
2021-02-01,Vizianagaram,Cowpea,82.47
2021-02-01,Vizianagaram,Cluster Bean,96.47
2021-02-01,Vizianagaram,Rice Bean,88.83
2021-02-01,Vizianagaram,Winged Bean,112.96
2021-02-01,Vizianagaram,Hyacinth Bean,96.62
2021-02-01,West Godavari,Toor Dal,110.02
2021-02-01,West Godavari,Moong Dal,105.31
2021-02-01,West Godavari,Urad Dal,96.43
2021-02-01,West Godavari,Chana Dal,72.67
2021-02-01,West Godavari,Masoor Dal,67.16
2021-02-01,West Godavari,Horse Gram,57.67
2021-02-01,West Godavari,Rajma,119.51
